ID,gold,predict
66034,Pres,Pres
289341,Pres,Pres
112631,Fut,Fut
286920,Pres,Pres
155809,Past,Past
415723,Pres,Pres
200508,Pres,Pres
37817,Fut,Fut
163802,Past,Pres
214138,Pres,Pres
282532,Past,Pres
198814,Pres,Pres
432734,Past,Past
198416,Past,Past
19424,Pres,Pres
265511,Pres,Pres
320314,Pres,Pres
390416,Past,Past
140313,Pres,Pres
376504,Pres,Pres
13622,Pres,Pres
304407,Pres,Pres
57232,Pres,Pres
86012,Pres,Pres
376129,Past,Pres
318537,Past,Past
240227,Past,Past
172216,Pres,Pres
137508,Pres,Pres
395503,Pres,Pres
475935,Pres,Pres
346012,Pres,Pres
28334,Pres,Pres
417516,Pres,Pres
157124,Pres,Past
425437,Pres,Pres
296412,Pres,Pres
50221,Pres,Pres
178014,Past,Past
407726,Past,Past
270031,Fut,Fut
200318,Pres,Pres
57835,Pres,Pres
119234,Pres,Pres
115601,Pres,Pres
327903,Past,Past
458208,Pres,Pres
445306,Pres,Pres
88825,Pres,Pres
97127,Pres,Pres
303324,Pres,Pres
45318,Pres,Pres
53124,Pres,Pres
149112,Pres,Pres
466529,Pres,Pres
29610,Pres,Pres
148144,Pres,Pres
58420,Past,Past
338220,Pres,Pres
31439,Pres,Pres
388829,Fut,Fut
230930,Pres,Pres
391131,Pres,Pres
319110,Past,Past
132232,Fut,Fut
410821,Pres,Pres
237735,Pres,Pres
178723,Pres,Pres
16503,Pres,Pres
455349,Pres,Pres
360724,Pres,Pres
354827,Fut,Fut
86113,Fut,Fut
359606,Pres,Pres
124620,Pres,Pres
211516,Pres,Pres
328712,Past,Pres
200927,Pres,Pres
449815,Past,Pres
239247,Pres,Pres
193341,Fut,Fut
116503,Pres,Pres
316516,Pres,Pres
7907,Pres,Pres
185602,Pres,Pres
348617,Pres,Pres
130207,Pres,Pres
295102,Pres,Pres
449630,Pres,Pres
225534,Past,Past
195940,Pres,Pres
399811,Past,Past
296621,Past,Past
257701,Pres,Pres
450016,Pres,Pres
426720,Fut,Fut
291509,Pres,Pres
351830,Pres,Pres
159722,Pres,Pres
69444,Pres,Pres
281430,Pres,Pres
299935,Fut,Fut
216902,Pres,Pres
405237,Pres,Pres
348508,Pres,Pres
336233,Past,Past
78603,Past,Past
436745,Pres,Pres
319106,Pres,Pres
319229,Past,Pres
289539,Pres,Pres
177414,Past,Pres
319005,Pres,Pres
277908,Past,Past
456519,Past,Pres
102807,Past,Pres
308923,Pres,Pres
179729,Past,Pres
280327,Pres,Pres
187410,Past,Past
295309,Past,Past
363404,Fut,Pres
456615,Pres,Pres
262345,Pres,Pres
383617,Pres,Pres
283308,Pres,Pres
59509,Past,Past
9610,Fut,Fut
449505,Pres,Pres
156204,Past,Past
8619,Fut,Fut
279222,Pres,Pres
434727,Pres,Pres
124409,Pres,Pres
368733,Pres,Pres
71302,Pres,Pres
107433,Pres,Pres
107609,Past,Past
357202,Past,Past
204429,Pres,Pres
39532,Pres,Pres
5023,Pres,Pres
371629,Pres,Pres
186425,Past,Past
20042,Pres,Pres
83420,Pres,Pres
74116,Pres,Pres
374129,Pres,Pres
414521,Pres,Pres
63329,Pres,Pres
318121,Fut,Fut
218728,Pres,Pres
62220,Pres,Pres
266529,Pres,Pres
168823,Pres,Pres
53932,Pres,Pres
49926,Past,Past
331811,Pres,Pres
189821,Pres,Pres
231525,Pres,Pres
168508,Pres,Pres
274733,Fut,Fut
172722,Pres,Pres
361007,Pres,Pres
342608,Past,Past
255613,Past,Past
66404,Pres,Pres
129808,Pres,Pres
330815,Past,Past
347603,Pres,Pres
160138,Fut,Fut
314404,Pres,Pres
250415,Pres,Pres
317514,Pres,Pres
74931,Pres,Pres
307704,Past,Past
355305,Pres,Pres
93705,Pres,Pres
77201,Fut,Fut
82706,Pres,Pres
330434,Pres,Pres
446305,Past,Past
303817,Pres,Pres
457104,Pres,Pres
470513,Past,Past
473134,Pres,Pres
453111,Pres,Pres
114022,Pres,Pres
138530,Pres,Pres
842,Pres,Pres
69910,Fut,Fut
475011,Fut,Fut
367244,Past,Past
311023,Pres,Pres
56429,Pres,Pres
181711,Pres,Pres
349432,Pres,Pres
414125,Pres,Pres
472010,Pres,Pres
90707,Pres,Pres
321431,Pres,Pres
124631,Pres,Pres
303332,Fut,Fut
119125,Past,Pres
138732,Pres,Pres
83509,Pres,Pres
227606,Past,Past
85026,Pres,Pres
399526,Pres,Pres
157403,Pres,Pres
466108,Past,Past
282420,Pres,Pres
117326,Past,Past
453207,Pres,Pres
397610,Pres,Pres
185720,Past,Past
264241,Pres,Pres
128903,Pres,Pres
325125,Pres,Pres
63837,Pres,Pres
307015,Pres,Pres
394032,Pres,Pres
437511,Pres,Pres
111035,Pres,Pres
423522,Pres,Pres
462026,Past,Pres
95013,Past,Past
418834,Pres,Pres
238018,Past,Past
179916,Past,Past
353017,Past,Past
209427,Pres,Pres
311705,Pres,Pres
390629,Past,Past
211133,Pres,Pres
6114,Pres,Pres
151332,Pres,Pres
332702,Fut,Fut
274109,Pres,Pres
160503,Pres,Pres
426113,Pres,Pres
164609,Pres,Pres
435205,Past,Past
