1929 ou 1989 ?	1929年还是1989年?
PARIS – Alors que la crise économique s'étend et s'aggrave, le monde cherche des analogies historiques pour essayer de comprendre ce qui se passe.	巴黎-随着经济危机不断加深和蔓延，整个世界一直在寻找历史上的类似事件希望有助于我们了解目前正在发生的情况。
Au début de la crise, beaucoup de gens faisaient le rapprochement avec 1982 ou 1973, ce qui était rassurant, car ces deux dates correspondent à des ralentissements économiques cycliques classiques.	一开始，很多人把这次危机比作1982年或1973年所发生的情况，这样得类比是令人宽心的，因为这两段时期意味着典型的周期性衰退。
Aujourd'hui le climat est bien plus lourd, et l'on évoque de plus en plus 1929 et 1931, même si certains pays continuent à se comporter comme s'il s'agissait d'une crise classique et non d'un événement exceptionnel.	如今人们的心情却是沉重多了，许多人开始把这次危机与1929年和1931年相比，即使一些国家政府的表现仍然似乎把视目前的情况为是典型的而看见的衰退。
La tendance est soit à un excès de modération soit à un effort qui s'exerce dans plusieurs directions à la fois.	目前的趋势是，要么是过度的克制（欧洲 ） ， 要么是努力的扩展（美国 ） 。
L'Europe se montre précautionneuse au nom de la défense de l'euro et de la lutte contre la dette, tandis que les USA agissent sur plusieurs fronts pour ne pas gaspiller une occasion idéale de mettre en œuvre des réformes structurelles indispensables.	欧洲在避免债务和捍卫欧元的名义下正变得谨慎，而美国已经在许多方面行动起来，以利用这一理想的时机来实行急需的结构性改革。
Pour les géostratégistes, tant du point de vue politique qu'économique, c'est 1989 qui vient spontanément à l'esprit.	然而，作为地域战略学家，无论是从政治意义还是从经济意义上，让我自然想到的年份是1989年。
Certes, la chute de Lehman Brothers n'a rien à voir avec la chute du mur de Berlin.	当然，雷曼兄弟公司的倒闭和柏林墙的倒塌没有任何关系。
Au premier abord, on peut y voir une antithèse : d'un coté la fin d'un mur qui symbolisait l'oppression et des divisions artificielles et de l'autre l'écroulement d'une institution apparemment indestructible et rassurante du capitalisme financier.	事实上，从表面上看，两者似乎是完全是相反的：一个是象征着压抑和人为分裂的柏林墙的倒塌，而另一个是看似坚不可摧的并令人安心的金融资本主义机构的倒塌。
Pourtant, 2008-2009 comme 1989 pourrait bien correspondre à un changement d'époque dont les conséquences vont se faire sentir durant des décennies.	然而，和1989年一样，2008-2009年很可能也能被视为一个划时代的改变，其带来的发人深省的后果将在几十年后仍能让我们感受得到。
La fin du clivage idéologique Est/Ouest et la fin de la confiance absolue dans l'économie libérale constituent des tournants historiques.	东西方意识形态鸿沟的结束，以及对市场绝对信心的后果，都是历史的转折点。
Les événements de 2009 pourraient menacer les résultats positifs de 1989, notamment la réunification pacifique de l'Europe et le triomphe des principes démocratiques sur les tendances nationalistes, voire xénophobes.	而2009年所发生的事情可能会威胁1989年革命所带来的积极成果，包括欧洲的和平统一和民主制度战胜了民族主义倾向，如果不是恐外倾向的话。
En 1989, la démocratie libérale l'a emporté sur l'idéologie socialiste incarnée et défendue par le bloc soviétique.	1989年，自由民主战胜了由苏联集团具体化并推崇的社会主义意识形态。
Pour nombre de ses partisans, c'est le président Reagan avec son escalade délibérée dans la course aux armements qui a poussé l'économie soviétique au bord du précipice, faisant ainsi la preuve de la supériorité des sociétés libérales et de l'économie de marché.	对于里根总统的许多的支持者来说，就是他精心策划的军备竞赛的升级，把苏联经济推向了崩溃的边缘，从而充分显示了自由社会和自由市场的优越性。
Les différences sont évidentes entre 1999 et aujourd'hui.	当然，现在的情况和1989年的情况明显不同了。
Avant tout, les révolutions de 1989 et l'effondrement de l'Union soviétique auquel elles ont abouti ont mis fin à une bipolarité globale, alors que 2009 va sans doute déboucher sur une nouvelle forme de bipolarité, avec la Chine à la place de l'Union soviétique.	首先，也许是最重要的，1989年的革命和随后的苏联解体结束了全球的两极化。 与此相反，2009年很可能会为一种新的两极化形式铺平道路，只是中国取代了苏联。
D'autre part, si en 1989 la démocratie et l'économie de marché sont apparus clairement comme les gagnants (plus fragiles qu'escomptés) en 2009 - avec une crise qui s'étend à toute la planète - il est difficile de distinguer entre gagnants et perdants.	其二，民主制度和市场资本主义，或许要比预期的要脆弱些，看来确实是当时的赢家。
Tout le monde semble perdant, même si certains sont plus touchés que d'autres.	而在2009年，随着全球危机的蔓延，却很难区分赢家和输家；每个人似乎都是输家，即使有些国家比其它国家受到的影响更大。
Mais l'Histoire est injuste et les USA, même s'ils portent une responsabilité majeure dans la crise d'aujourd'hui, pourraient s'en tirer bien mieux que la plupart des autres pays.	而历史是不公平的。 尽管美国要为当今的全球危机负更大的责任，但美国可能会比大多数国家以更良好的势态走出困境。
Ils ne seront pas les seuls.	美国会恢复得更好，但并不是唯一能恢复的国家。
En tant que professeur invité à Harvard et au MIT, j'ai un bon aperçu de ce à quoi pourrait ressembler le monde quand la crise sera passée.	作为哈佛大学和麻省理工学院的访问教授，我能看到危机过后的世界是什么样子的。
On perçoit l'émergence d'un monde dominé par l'Amérique et l'Asie.	我们能感受到一个美国和亚洲占主导地位的世界正在形成。
