La stratégie du retour de l'Europe	欧洲的重振战略
STOCKHOLM/MADRID – Lorsque le pape François Ier s'est adressé au Parlement Européen en novembre dernier, il a comparé l'Union européenne à une grand-mère : agréable et pleine d'expérience, mais dénuée de la vitalité et de l'énergie qu'elle a pu montrer jadis.	斯托克霍姆/马德里—去年11月，教皇方济各在其欧洲议会演讲中将欧盟比作祖母 — — 和蔼而富于经验，但已不再有过去的活力和能量。
Le pape a soutenu qu'il était grand temps que les dirigeants européens se défassent de leur manque de dynamisme, qu'ils reconnaissent les défis stratégiques auxquels l'Europe est confrontée et qu'ils conçoivent des mesures claires pour y faire face.	方济各说，现在是一个关键时刻，欧盟领导人必须摆脱懈怠形象，承认欧洲所面临的战略挑战，并构建应对挑战的明确政策。
Malheureusement le portrait dressé par le pape est juste à certains égards.	诚然，教皇的描述在某些角度讲非常准确。
Mais malgré sa lassitude apparente, l'Europe conserve des atouts importants.	但是，尽管欧洲看起来疲态尽露，但仍拥有巨大优势。
Elle est une plaque tournante de haut niveau pour la réflexion et l'innovation. Elle abrite certaines des régions et des industries les plus compétitives du monde et (fait peut-être encore plus impressionnant), elle représente une communauté et un marché regroupant un demi-milliard de personnes.	欧洲是高水平思想和创新的枢纽；是世界最有竞争力地区和产业的所在地；最重要的是，它还构建了一个由五亿人组成的社会和市场。
Mais le monde est en train de changer : la région Asie-Pacifique a de plus en plus d'influence dans les événements mondiaux, économiques et autres.	但世界正在变化：亚太地区正在日益影响全球经济和其他发展趋势。
L'Accord de Partenariat Trans-Pacifique, par lequel les États-Unis et 11 autres pays doivent créer une zone de libre-échange méga-régionale, va très probablement accélérer ce changement (ce qui va encore se confirmer si la Chine finit par les rejoindre).	跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
Bien que le Partenariat Trans-Pacifique (PTP) contienne de nombreux obstacles à surmonter avant qu'un accord ne soit finalisé, il ne faut pas sous-estimer sa capacité à augmenter la puissance économique de l'Asie.	尽管TPP距离最终完成协议还有很多障碍需要跨越，但其扩大亚洲经济实力的潜力绝不容���觑。
L'Europe doit s'employer à renforcer sa position dans le nouvel ordre mondial, en commençant par relancer ses propres relations commerciales et ses investissements avec les États-Unis.	欧洲必须致力于确保其在新世界秩序中的地位 — — 首先要强化其自身与美国的贸易和投资联系。
Le problème est que malgré l'avancée des négociations du PTP, les pourparlers du Partenariat transatlantique de commerce et d'investissement (PTCI) entre l'UE et les États-Unis sont si profondément embourbés dans des controverses internes que l'ensemble du projet risque d'être sabordé.	在TPP谈判不断推进的同时，欧盟-美国跨大西洋贸易和投资伙伴关系（Transatlantic Trade and Investment Partnership，TTIP）谈判却深陷国内矛盾的掣肘，整个工程都有可能夭折。
Les chefs d'entreprises des deux côtés de l'Atlantique sont convaincus qu'un accord PTCI réussi apporterait des avantages économiques substantiels : une opinion étayée par de nombreuses études.	大西洋两岸的商业领袖相信，成功的TTIP协议将带来巨大的经济收益 — — 许多研究都强化了这一感觉。
Pourtant des questions triviales (par exemple, l'utilisation de poulet traité au chlore et le règlement de différends avec les investisseurs) continuent de dominer le débat.	但一些微妙的问题 — — 比如“氯化鸡 ” （ 欧洲怀疑美国鸡肉进入市场前都用氯消毒）和投资者纠纷和解等问题 — — 仍主导着争论。
