ID,gold,predict
97701,Pres,Pres
146501,Pres,Pres
51116,Pres,Pres
81316,Pres,Pres
397803,Past,Past
323516,Pres,Pres
377224,Pres,Past
141840,Pres,Pres
98904,Pres,Past
393026,Pres,Pres
462912,Pres,Pres
365920,Pres,Pres
205519,Pres,Past
207917,Pres,Pres
6427,Pres,Pres
154917,Pres,Pres
215207,Pres,Pres
40712,Pres,Pres
416925,Fut,Pres
72736,Pres,Pres
150608,Past,Pres
353219,Pres,Pres
294221,Pres,Pres
316509,Past,Pres
341225,Pres,Pres
340106,Past,Past
475933,Pres,Pres
396701,Pres,Pres
144927,Pres,Pres
33318,Pres,Pres
34107,Pres,Pres
426630,Pres,Past
412228,Pres,Pres
370419,Pres,Pres
439714,Past,Past
341040,Past,Pres
142022,Past,Past
254826,Pres,Pres
186219,Pres,Pres
432337,Pres,Pres
172318,Pres,Pres
318130,Pres,Pres
256402,Past,Pres
96609,Past,Past
436902,Pres,Pres
112240,Past,Pres
86223,Pres,Pres
468141,Pres,Pres
300408,Pres,Pres
208011,Past,Past
224223,Pres,Pres
179413,Pres,Pres
10201,Past,Past
95134,Pres,Pres
73013,Pres,Pres
48824,Pres,Pres
145402,Pres,Past
359334,Pres,Pres
458111,Pres,Pres
91122,Pres,Pres
210406,Pres,Pres
422726,Pres,Pres
322516,Pres,Pres
183936,Pres,Pres
140808,Pres,Pres
165105,Pres,Pres
190310,Pres,Pres
90321,Past,Past
376942,Pres,Pres
197508,Pres,Pres
273130,Pres,Past
294812,Pres,Pres
256027,Pres,Pres
3222,Pres,Past
170727,Pres,Pres
19746,Pres,Pres
221307,Pres,Past
202628,Pres,Pres
461514,Pres,Past
460707,Past,Past
138817,Pres,Fut
377717,Pres,Pres
220727,Pres,Pres
314618,Past,Past
334218,Pres,Pres
229317,Past,Past
429903,Past,Past
107834,Pres,Pres
274024,Pres,Pres
412120,Past,Pres
400701,Past,Pres
154806,Pres,Pres
445115,Pres,Pres
260414,Pres,Pres
202722,Pres,Pres
67409,Past,Past
320531,Past,Past
25007,Pres,Pres
117013,Pres,Past
223512,Pres,Pres
67307,Past,Past
390125,Past,Past
194514,Past,Fut
133125,Past,Past
280908,Past,Past
205905,Past,Past
152636,Pres,Pres
290114,Pres,Fut
393543,Pres,Pres
40124,Pres,Pres
331736,Pres,Pres
20211,Pres,Pres
328322,Past,Past
219701,Past,Pres
104829,Pres,Pres
349202,Pres,Past
15320,Pres,Pres
278613,Pres,Pres
3418,Pres,Pres
141029,Fut,Pres
401018,Past,Past
14601,Pres,Pres
471110,Past,Past
54015,Pres,Pres
444215,Pres,Pres
386008,Pres,Pres
267420,Pres,Pres
32112,Past,Past
166621,Pres,Pres
161932,Pres,Pres
245417,Past,Past
304730,Past,Pres
213407,Pres,Pres
137424,Pres,Past
188212,Pres,Past
173325,Past,Pres
464015,Pres,Pres
407731,Pres,Pres
249429,Pres,Pres
76724,Past,Pres
3537,Pres,Pres
204222,Pres,Pres
330033,Pres,Pres
389702,Past,Past
15908,Pres,Past
192232,Fut,Fut
58505,Pres,Pres
204416,Pres,Pres
377430,Pres,Pres
334319,Pres,Pres
151921,Past,Past
143206,Past,Past
394819,Pres,Pres
211914,Pres,Pres
135530,Pres,Pres
14907,Past,Past
279617,Pres,Pres
444713,Pres,Pres
346630,Past,Past
387704,Pres,Past
233731,Pres,Pres
344219,Pres,Pres
99422,Past,Past
19830,Past,Pres
124940,Pres,Pres
155507,Pres,Pres
468942,Pres,Pres
429542,Pres,Pres
364806,Pres,Pres
90420,Pres,Pres
162119,Pres,Pres
220703,Pres,Pres
376640,Fut,Fut
354032,Pres,Pres
402612,Pres,Pres
410622,Pres,Pres
443812,Pres,Pres
382802,Past,Past
334124,Pres,Pres
77311,Pres,Pres
442610,Past,Pres
180415,Pres,Pres
48516,Past,Past
212506,Past,Past
174412,Past,Pres
255427,Pres,Pres
343216,Pres,Pres
437527,Pres,Pres
66115,Past,Pres
377611,Past,Past
395102,Pres,Pres
34403,Pres,Pres
292625,Pres,Pres
149528,Pres,Pres
314821,Pres,Pres
136108,Past,Past
241737,Pres,Pres
328315,Pres,Past
306526,Past,Past
263331,Pres,Fut
86629,Past,Past
354923,Pres,Pres
418615,Pres,Pres
44605,Past,Past
165208,Pres,Pres
383131,Pres,Pres
102538,Pres,Pres
41912,Pres,Pres
312905,Past,Past
29432,Pres,Pres
52532,Fut,Pres
38109,Fut,Pres
286527,Pres,Past
15629,Past,Past
120821,Pres,Pres
351802,Pres,Past
61742,Past,Fut
4147,Fut,Pres
309132,Fut,Pres
110413,Pres,Past
139917,Pres,Pres
351740,Past,Pres
350749,Pres,Pres
446404,Fut,Fut
59624,Pres,Pres
150225,Pres,Pres
62727,Pres,Pres
315934,Past,Pres
2015,Past,Past
175235,Pres,Pres
117843,Pres,Pres
177433,Pres,Pres
35231,Pres,Pres
65334,Pres,Pres
418429,Pres,Pres
171712,Pres,Pres
471331,Pres,Pres
